,name,platform,original_price(€),discounted_price(€),discount(%),release_date,users_rating,category,extraction_date
0,The Division 2 (Europe),Uplay,60,43.79,27,15 marzo 2019,81 /100,GAME,31 marzo 2019
1,Grand Theft Auto V,Rockstar,30,11.59,61,14 abril 2015,88 /100,GAME,31 marzo 2019
2,Sekiro: Shadows Die Twice (Europe),Steam,60,51.69,14,22 marzo 2019,86 /100,GAME,31 marzo 2019
3,Guild Wars 2: 2000 Gems,Ncsoft,25,16.81,33,28 agosto 2012,91 /100,DLC,31 marzo 2019
4,Battlefield 5,Origin,60,28.98,52,20 noviembre 2018,76 /100,GAME,31 marzo 2019
5,Outward,Steam,40,33.98,15,26 marzo 2019,80 /100,GAME,31 marzo 2019
6,Suscripción Xbox Live Gold 12 Meses,Xbox,60,38.99,35,N/A,96 /100,GAME,31 marzo 2019
7,Tropico 6 (Europe),Steam,50,30.69,39,29 marzo 2019,80 /100,GAME,31 marzo 2019
8,Grand Theft Auto V: Premium Online Edition,Rockstar,35,14.90,57,14 abril 2015,88 /100,GAME,31 marzo 2019
9,Borderlands 2 (Game of the Year Edition) (Europe),Steam,45,4.95,89,12 octubre 2010,92 /100,GAME,31 marzo 2019
10,World of Warcraft: Tarjeta 60 Días (Europe),Battle.net,30,21.32,29,29 noviembre 2004,94 /100,DLC,31 marzo 2019
11,Sea of Thieves (PC / Xbox ONE),Xbox Play Anywhere,70,39.89,43,20 marzo 2018,80 /100,GAME,31 marzo 2019
12,FIFA 19: 2200 FUT Points,Origin,20,14.54,27,28 septiembre 2018,62 /100,DLC,31 marzo 2019
13,Forza Horizon 4 (PC / Xbox ONE),Xbox Play Anywhere,70,34.99,50, 2 octubre 2018,89 /100,GAME,31 marzo 2019
14,Rocket League,Steam,20,7.98,60, 7 julio 2015,92 /100,GAME,31 marzo 2019
15,Ark: Survival Evolved,Steam,55,14.24,74,29 agosto 2017,78 /100,GAME,31 marzo 2019
16,Football Manager 2019 (Europe),Steam,55,19.20,65, 2 noviembre 2018,86 /100,GAME,31 marzo 2019
17,Generation Zero,Steam,35,28.95,17,26 marzo 2019,51 /100,GAME,31 marzo 2019
18,Call of Duty: Black Ops II,Steam,60,6.86,89,13 noviembre 2012,87 /100,GAME,31 marzo 2019
19,Euro Truck Simulator 2,Steam,20,4.98,75,19 octubre 2012,91 /100,GAME,31 marzo 2019
20,Los Sims 4 (Europe),Origin,40,11.99,70, 4 septiembre 2014,82 /100,GAME,31 marzo 2019
21,Call of Duty: Black Ops III + Nuketown,Steam,60,8.26,86, 5 noviembre 2015,79 /100,GAME,31 marzo 2019
22,Tom Clancy's Rainbow Six Siege (Europe),Uplay,40,12.98,68, 1 diciembre 2015,86 /100,GAME,31 marzo 2019
23,The Division 2 Xbox ONE,Xbox,70,50.99,27,15 marzo 2019,81 /100,GAME,31 marzo 2019
24,Human: Fall Flat,Steam,15,3.29,78,22 julio 2016,86 /100,GAME,31 marzo 2019
25,Tropico 6 El Prez Edition (Europe),Steam,55,36.49,34,29 marzo 2019,80 /100,GAME,31 marzo 2019
26,Metro: Exodus (Europe),Epic Games,60,37.98,37,15 febrero 2019,80 /100,GAME,31 marzo 2019
27,F1 2018,Steam,55,12.85,77,24 agosto 2018,90 /100,GAME,31 marzo 2019
28,Suscripción Xbox Live Gold 3 Meses,Xbox,20,13.99,30,N/A,96 /100,GAME,31 marzo 2019
29,FIFA 19,Origin,60,26.41,56,28 septiembre 2018,66 /100,GAME,31 marzo 2019
30,Grid 2,Steam,25,1.01,96,31 mayo 2013,80 /100,GAME,31 marzo 2019
31,Xbox Live Gold 14 Days Membership (Only New Accounts),Xbox,4,1.99,50,N/A,96 /100,GAME,31 marzo 2019
32,Suscripción Xbox Live Gold 1 Mes,Xbox,7,6.73,4,N/A,96 /100,GAME,31 marzo 2019
33,Yoshi's Crafted World Switch (Europe),Nintendo,60,47.99,20,29 marzo 2019,? /100,GAME,31 marzo 2019
34,Farming Simulator 19,Steam,35,26.39,25,20 noviembre 2018,87 /100,GAME,31 marzo 2019
35,Los Sims 4: ¡Rumbo a la Fama! ,Origin,40,15.98,60,16 noviembre 2018,91 /100,DLC,31 marzo 2019
36,Gears of War 4 (PC / Xbox One),Xbox Play Anywhere,70,6.75,90,11 octubre 2016,71 /100,GAME,31 marzo 2019
37,Playerunknown's Battlegrounds,Steam,30,20.16,33,21 diciembre 2017,83 /100,GAME,31 marzo 2019
38,Sid Meier's Civilization VI: Gathering Storm (Europe),Steam,40,27.44,31,14 febrero 2019,93 /100,DLC,31 marzo 2019
39,Euro Truck Simulator 2: Beyond the Baltic Sea,Steam,18,8.41,53,29 noviembre 2018,97 /100,DLC,31 marzo 2019
40,Fortnite Bomber Skin + 500 V-bucks PS4 (Europe),Playstation,80,13.99,83,25 julio 2017,73 /100,GAME,31 marzo 2019
41,Dead by Daylight,Steam,20,8.71,56,14 junio 2016,83 /100,GAME,31 marzo 2019
42,The Elder Scrolls V: Skyrim Special Edition,Steam,40,13.14,67,28 octubre 2016,94 /100,GAME,31 marzo 2019
