,0,1,2,3,4,5,6,7
0,The Division 2 (Europe),Uplay,60€,45.69€,-24%,15 marzo 2019,80 /100,0
1,Sekiro: Shadows Die Twice (Europe),Steam,60€,52.89€,-12%,22 marzo 2019,98 /100,0
2,Grand Theft Auto V,Rockstar,30€,11.59€,-61%,14 abril 2015,88 /100,0
3,Sea of Thieves (PC / Xbox ONE),Xbox Play Anywhere,70€,37.89€,-46%,20 marzo 2018,80 /100,0
4,Suscripción Xbox Live Gold 12 Meses,Xbox,60€,37.99€,-37%,N/A,96 /100,0
5,Guild Wars 2: 2000 Gems,Ncsoft,25€,16.81€,-33%,28 agosto 2012,91 /100,1
6,Rocket League,Steam,20€,7.98€,-60%, 7 julio 2015,92 /100,0
7,The Division 2 Xbox ONE,Xbox,70€,51.99€,-26%,15 marzo 2019,80 /100,0
8,Football Manager 2019 (Europe),Steam,55€,19.68€,-64%, 2 noviembre 2018,86 /100,0
9,Ark: Survival Evolved,Steam,55€,14.58€,-73%,29 agosto 2017,78 /100,0
10,Call of Duty: Black Ops II,Steam,60€,6.86€,-89%,13 noviembre 2012,87 /100,0
11,FIFA 19: 2200 FUT Points,Origin,20€,14.71€,-26%,28 septiembre 2018,62 /100,1
12,Battlefield 5,Origin,60€,28.98€,-52%,20 noviembre 2018,76 /100,0
13,Human: Fall Flat,Steam,15€,3.29€,-78%,22 julio 2016,86 /100,0
14,Los Sims 4 (Europe),Origin,40€,11.99€,-70%, 4 septiembre 2014,82 /100,0
15,Forza Horizon 4 (PC / Xbox ONE),Xbox Play Anywhere,70€,36.78€,-47%, 2 octubre 2018,89 /100,0
16,World of Warcraft: Tarjeta 60 Días (Europe),Battle.net,30€,21.05€,-30%,29 noviembre 2004,94 /100,1
17,Call of Duty: Black Ops III + Nuketown,Steam,60€,8.86€,-85%, 5 noviembre 2015,79 /100,0
18,Borderlands 2 (Game of the Year Edition) (Europe),Steam,45€,5.12€,-89%,12 octubre 2010,92 /100,0
19,Suscripción Xbox Live Gold 3 Meses,Xbox,20€,13.99€,-30%,N/A,96 /100,0
20,Fortnite Bomber Skin + 500 V-bucks PS4 (Europe),Playstation,80€,13.99€,-83%,25 julio 2017,74 /100,0
21,F1 2018,Steam,55€,13.29€,-76%,24 agosto 2018,90 /100,0
22,Devil May Cry 5 (Europe),Steam,60€,35.49€,-41%, 8 marzo 2019,89 /100,0
23,Battlefield 1 Revolution Xbox ONE,Xbox,40€,1.99€,-95%,22 agosto 2017,84 /100,0
24,Dead by Daylight,Steam,20€,8.19€,-59%,14 junio 2016,82 /100,0
25,One Piece World Seeker,Steam,50€,34.98€,-30%,15 marzo 2019,68 /100,0
26,For the King,Steam,20€,2.41€,-88%,28 febrero 2017,87 /100,0
27,Sid Meier's Civilization VI: Gathering Storm (Europe),Steam,40€,27.52€,-31%,14 febrero 2019,93 /100,1
28,Xbox Live Gold 14 Days Membership (Only New Accounts),Xbox,4€,1.99€,-50%,N/A,96 /100,0
29,Civilization VI (Europe),Steam,60€,10.65€,-82%,21 octubre 2016,86 /100,0
30,Tarjeta regalo Xbox Live 10€ (zona euro),Xbox,10€,9.79€,-2%,N/A,95 /100,0
31,Suscripción Xbox Live Gold 1 Mes,Xbox,7€,6.69€,-4%,N/A,96 /100,0
32,Playerunknown's Battlegrounds,Steam,30€,20.27€,-32%,21 diciembre 2017,83 /100,0
33,Total War: Warhammer II (Europe),Steam,60€,14.92€,-75%,28 septiembre 2017,88 /100,0
34,Titanfall 2,Origin,60€,10.87€,-82%,28 octubre 2016,88 /100,0
35,Tarjeta PlayStation Network 50€ (España) (ES),Playstation,50€,43.99€,-12%,N/A,96 /100,0
36,Euro Truck Simulator 2: Beyond the Baltic Sea,Steam,18€,8.52€,-53%,29 noviembre 2018,97 /100,1
37,Minecraft,Official Website,24€,20.78€,-13%,19 noviembre 2011,89 /100,0
38,Call of Duty: Modern Warfare 3 (Europe),Steam,40€,5.79€,-86%, 8 noviembre 2011,85 /100,0
39,Far Cry New Dawn (Europe),Uplay,45€,19.98€,-56%,15 febrero 2019,76 /100,0
40,Farming Simulator 19,Steam,35€,26.52€,-24%,20 noviembre 2018,88 /100,0
41,Euro Truck Simulator 2,Steam,20€,4.07€,-80%,19 octubre 2012,91 /100,0
42,Conan Exiles,Steam,40€,15.54€,-61%, 8 mayo 2018,75 /100,0
43,Assassin's Creed Odyssey (Europe),Uplay,60€,26.67€,-56%, 5 octubre 2018,85 /100,0
44,Los Sims 4: ¡Rumbo a la Fama! ,Origin,40€,16.98€,-57%,16 noviembre 2018,91 /100,1
45,Apex Legends: 2150 Apex Coins,Origin,,20.15€,N/A, 4 febrero 2019,? /100,1
46,Grid 2,Steam,25€,1.60€,-94%,31 mayo 2013,80 /100,0
47,Tom Clancy's Rainbow Six Siege (Europe),Uplay,40€,12.98€,-68%, 1 diciembre 2015,86 /100,0
48,Los Sims 4: Perros y Gatos,Origin,40€,15.49€,-61%,10 noviembre 2017,91 /100,1
49,Doom,Steam,20€,6.41€,-68%,13 mayo 2016,91 /100,0
50,The Elder Scrolls V: Skyrim Special Edition,Steam,40€,13.49€,-66%,28 octubre 2016,94 /100,0
51,Anthem,Origin,60€,42.98€,-28%,22 febrero 2019,65 /100,0
52,Xbox Game Pass 1 Month Trial Xbox ONE (Only New Accounts),Xbox,10€,1.99€,-80%,N/A,99 /100,0
53,Office Hogar y Estudiante 2016,Software,149€,14.49€,-90%,22 septiembre 2015,84 /100,0
54,Call of Duty: Modern Warfare 2 (Europe),Steam,20€,5.74€,-71%,10 noviembre 2009,89 /100,0
55,Fortnite Deep Freeze Bundle PC,Epic Games,30€,16.41€,-45%, 6 diciembre 2018,86 /100,0
56,Resident Evil 2 Biohazard RE:2 (Europe),Steam,60€,27.75€,-54%,25 enero 2019,93 /100,0
57,Metro: Exodus (Europe),Epic Games,60€,39.65€,-34%,15 febrero 2019,78 /100,0
58,Los Sims 3,Official Website,32€,3.64€,-89%, 4 junio 2009,84 /100,0
